land_area_acres,affected_families,disputes,documents_pending,compensation_delay_months,court_cases,will_be_delayed,delay_days
82,8,0,4,3,1,0,0
18,48,1,8,1,4,1,111
5,2,1,3,3,4,0,0
78,2,8,3,11,5,1,171
70,27,3,7,9,2,1,138
1,49,2,6,5,2,1,100
28,49,5,1,1,3,1,89
46,23,9,4,12,0,1,155
59,35,1,6,1,4,1,94
81,40,5,3,11,0,1,108
85,15,4,1,3,0,0,0
49,18,7,5,2,2,1,109
27,43,4,1,9,5,1,131
69,47,3,2,7,3,1,109
82,45,8,3,10,2,1,163
100,4,3,0,12,2,1,100
35,5,3,5,3,5,1,112
51,42,7,2,4,1,1,102
96,36,8,4,11,4,1,172
75,26,5,3,2,4,1,112
12,49,0,1,2,5,1,81
88,28,9,1,6,3,1,141
60,34,4,8,0,5,1,137
15,44,8,4,12,5,1,184
15,19,6,2,7,0,1,107
93,17,8,2,8,0,1,119
39,41,8,3,2,2,1,129
21,35,8,0,9,2,1,134
3,8,5,4,3,0,0,0
31,37,1,1,11,3,1,99
98,35,2,2,10,3,1,120
22,17,8,6,3,4,1,151
94,45,3,4,6,5,1,141
48,29,8,7,1,1,1,111
9,22,0,8,3,4,1,96
1,5,10,0,3,0,1,80
43,5,8,3,4,5,1,138
28,35,2,7,3,3,1,120
53,13,1,1,10,3,1,95
55,27,7,0,10,5,1,157
13,4,6,5,12,0,1,117
25,13,8,7,2,3,1,123
36,30,3,1,7,4,1,102
7,42,8,0,1,1,1,86
53,32,7,3,6,0,1,100
49,1,6,4,12,3,1,138
55,45,8,7,2,1,1,124
28,4,9,8,0,5,1,142
8,4,9,7,8,4,1,157
8,33,1,2,1,4,0,0
9,44,3,6,1,4,1,107
75,39,0,1,6,5,1,106
73,34,5,4,3,5,1,138
41,16,4,6,2,5,1,127
39,30,5,1,0,3,0,0
80,37,1,1,8,1,0,0
65,17,2,5,1,1,0,0
48,19,2,7,8,5,1,133
79,42,8,0,10,4,1,150
85,7,2,4,1,0,0,0
96,36,2,4,4,4,1,101
92,22,3,4,8,3,1,111
7,6,10,6,4,0,1,107
43,50,2,4,2,5,1,115
71,46,6,8,0,0,1,93
89,10,8,0,5,4,1,126
19,28,2,0,4,2,0,0
6,23,3,3,10,0,1,95
100,36,6,2,3,1,1,108
